instance_id,task,condition,style,gold,model,model_family,is_think,predicted,parsed,exact,primary,absolute_error,non_terminating,non_terminating_source,n_new_tokens,wording,has_marker,shortcut_score,response_len_chars,failure_type,length_outlier
node_count/0,node_count,all,zero_shot, 18.,gemma4-12b-think,gemma4-12b,True,18,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,True,1.0,1785,correct,False
node_count/1,node_count,clustering,zero_shot, 10.,gemma4-12b-think,gemma4-12b,True,10,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,True,1.0,2742,correct,False
node_count/1,node_count,none,zero_shot, 10.,gemma4-12b-think,gemma4-12b,True,10,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,True,0.064,1584,correct,False
node_count/2,node_count,components,zero_shot, 9.,gemma4-12b-think,gemma4-12b,True,9,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.076,1393,correct,False
node_count/2,node_count,rwse,zero_shot, 9.,gemma4-12b-think,gemma4-12b,True,9,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1572,correct,False
node_count/3,node_count,degree,zero_shot, 11.,gemma4-12b-think,gemma4-12b,True,11,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,10953,correct,True
node_count/4,node_count,all,zero_shot, 8.,gemma4-12b-think,gemma4-12b,True,8,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2465,correct,False
node_count/5,node_count,clustering,zero_shot, 17.,gemma4-12b-think,gemma4-12b,True,17,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1526,correct,False
node_count/5,node_count,none,zero_shot, 17.,gemma4-12b-think,gemma4-12b,True,17,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.064,1490,correct,False
node_count/6,node_count,components,zero_shot, 19.,gemma4-12b-think,gemma4-12b,True,19,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.076,5967,correct,True
node_count/6,node_count,rwse,zero_shot, 19.,gemma4-12b-think,gemma4-12b,True,19,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2956,correct,False
node_count/7,node_count,degree,zero_shot, 8.,gemma4-12b-think,gemma4-12b,True,8,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1619,correct,False
node_count/8,node_count,all,zero_shot, 18.,gemma4-12b-think,gemma4-12b,True,18,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1646,correct,False
node_count/9,node_count,clustering,zero_shot, 5.,gemma4-12b-think,gemma4-12b,True,5,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,2935,correct,False
node_count/9,node_count,none,zero_shot, 5.,gemma4-12b-think,gemma4-12b,True,5,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.064,1259,correct,False
node_count/10,node_count,components,zero_shot, 9.,gemma4-12b-think,gemma4-12b,True,9,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,0.076,1228,correct,False
node_count/10,node_count,rwse,zero_shot, 9.,gemma4-12b-think,gemma4-12b,True,9,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1185,correct,False
node_count/11,node_count,degree,zero_shot, 6.,gemma4-12b-think,gemma4-12b,True,6,True,1.0,1.0,0.0,False,ground_truth_file,,unaffected,False,1.0,1306,correct,False
